# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-214.81641396	0.00017728
-214.78305755	0.00008520
-214.74970114	-0.00028875
-214.71634473	0.00008838
-214.68298832	0.00004146
-214.64963191	0.00038419
-214.61627550	0.00020297
-214.58291909	0.00022466
-214.54956268	0.00000507
-214.51620627	0.00023123
-214.48284987	0.00012854
-214.44949346	0.00030199
-214.41613705	0.00020432
-214.38278064	0.00031817
-214.34942423	0.00024364
-214.31606782	0.00035602
-214.28271141	0.00028731
-214.24935500	0.00026263
-214.21599859	0.00049504
-214.18264218	0.00037344
-214.14928577	0.00051108
-214.11592936	0.00037324
-214.08257295	0.00043987
-214.04921654	0.00032323
-214.01586013	0.00061992
-213.98250372	0.00067515
-213.94914731	0.00044073
-213.91579090	0.00031282
-213.88243449	0.00028712
-213.84907808	0.00054993
-213.81572168	0.00033035
-213.78236527	0.00036431
-213.74900886	0.00076556
-213.71565245	0.00043615
-213.68229604	0.00048060
-213.64893963	0.00036320
-213.61558322	0.00045004
-213.58222681	0.00041471
-213.54887040	0.00052325
-213.51551399	0.00027776
-213.48215758	0.00052816
-213.44880117	0.00040420
-213.41544476	0.00056909
-213.38208835	0.00040524
-213.34873194	0.00065033
-213.31537553	0.00035826
-213.28201912	0.00058514
-213.24866271	0.00049367
-213.21530630	0.00069368
-213.18194989	0.00043671
-213.14859348	0.00043474
-213.11523708	0.00083925
-213.08188067	0.00062919
-213.04852426	0.00063866
-213.01516785	0.00051933
-212.98181144	0.00068539
-212.94845503	0.00079452
-212.91509862	0.00075193
-212.88174221	0.00060924
-212.84838580	0.00106887
-212.81502939	0.00060312
-212.78167298	0.00065097
-212.74831657	0.00087770
-212.71496016	0.00085469
-212.68160375	0.00069876
-212.64824734	0.00085162
-212.61489093	0.00037313
-212.58153452	0.00059350
-212.54817811	0.00030007
-212.51482170	0.00045633
-212.48146529	0.00028692
-212.44810888	0.00021093
