# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-209.91302176	-0.98159958
-209.87966535	-1.47827663
-209.84630894	-2.00933267
-209.81295253	-2.55332134
-209.77959612	-3.06854904
-209.74623971	-3.51575474
-209.71288330	-3.83951643
-209.67952689	-4.00933659
-209.64617049	-3.99558331
-209.61281408	-3.78592826
-209.57945767	-3.39546613
-209.54610126	-2.84773526
-209.51274485	-2.19323424
-209.47938844	-1.47608685
-209.44603203	-0.75536713
-209.41267562	-0.05206872
-209.37931921	0.58363910
-209.34596280	1.14937821
-209.31260639	1.61563042
-209.27924998	1.98508412
-209.24589357	2.23693305
-209.21253716	2.36699509
-209.17918075	2.37888320
-209.14582434	2.28427135
-209.11246793	2.11206438
-209.07911152	1.89322826
-209.04575511	1.66425115
-209.01239870	1.43831367
-208.97904229	1.23288580
-208.94568589	1.04775504
-208.91232948	0.87713663
-208.87897307	0.71396485
-208.84561666	0.57200599
-208.81226025	0.45971913
-208.77890384	0.38470326
-208.74554743	0.34671321
-208.71219102	0.34028477
-208.67883461	0.34840234
-208.64547820	0.35563991
-208.61212179	0.34962826
-208.57876538	0.32738834
-208.54540897	0.29168055
-208.51205256	0.24883248
-208.47869615	0.19940625
-208.44533974	0.14694612
-208.41198333	0.09331935
-208.37862692	0.03891830
-208.34527051	-0.01744616
-208.31191410	-0.06808183
-208.27855769	-0.10914761
-208.24520129	-0.13808774
-208.21184488	-0.15462568
-208.17848847	-0.15644057
-208.14513206	-0.14563166
-208.11177565	-0.12598642
-208.07841924	-0.10050789
-208.04506283	-0.07428923
-208.01170642	-0.05144517
-207.97835001	-0.03243282
-207.94499360	-0.01659543
-207.91163719	-0.00407756
-207.87828078	0.00423208
-207.84492437	0.00857220
-207.81156796	0.00917224
-207.77821155	0.00639499
-207.74485514	0.00148272
-207.71149873	-0.00357779
-207.67814232	-0.00852057
-207.64478591	-0.01118423
-207.61142950	-0.01133666
-207.57807309	-0.00798445
-207.54471669	-0.00126960
-207.51136028	0.00721656
-207.47800387	0.01574886
-207.44464746	0.02439718
-207.41129105	0.03272110
-207.37793464	0.04013612
-207.34457823	0.04462565
-207.31122182	0.04693969
-207.27786541	0.04664974
-207.24450900	0.04426475
-207.21115259	0.04130499
-207.17779618	0.03697497
-207.14443977	0.03056660
-207.11108336	0.02153440
-207.07772695	0.00988833
-207.04437054	-0.00309900
-207.01101413	-0.01837952
-206.97765772	-0.03202537
-206.94430131	-0.04326198
-206.91094490	-0.05182225
-206.87758849	-0.05830786
-206.84423209	-0.06369641
-206.81087568	-0.06804268
-206.77751927	-0.07158743
-206.74416286	-0.07482803
-206.71080645	-0.07669874
-206.67745004	-0.07732836
-206.64409363	-0.07707212
-206.61073722	-0.07698159
-206.57738081	-0.07726656
-206.54402440	-0.07721793
-206.51066799	-0.07606308
-206.47731158	-0.07189895
-206.44395517	-0.06424272
-206.41059876	-0.05367621
-206.37724235	-0.04266020
-206.34388594	-0.03028141
-206.31052953	-0.01862716
-206.27717312	-0.00889432
-206.24381671	0.00043034
-206.21046030	0.00943052
-206.17710389	0.01769116
-206.14374749	0.02410133
-206.11039108	0.02803777
-206.07703467	0.02901612
-206.04367826	0.02610685
-206.01032185	0.01973204
-205.97696544	0.01035622
-205.94360903	-0.00240897
-205.91025262	-0.01643761
-205.87689621	-0.02984222
-205.84353980	-0.04050231
-205.81018339	-0.04973691
-205.77682698	-0.05608958
-205.74347057	-0.05953926
-205.71011416	-0.05961847
-205.67675775	-0.05702525
-205.64340134	-0.05109919
-205.61004493	-0.04388057
-205.57668852	-0.03576185
-205.54333211	-0.02738825
-205.50997570	-0.01915872
-205.47661930	-0.01343546
-205.44326289	-0.01074527
-205.40990648	-0.01107824
-205.37655007	-0.01468448
-205.34319366	-0.01935184
-205.30983725	-0.02487117
-205.27648084	-0.03061943
-205.24312443	-0.03624669
-205.20976802	-0.04119493
-205.17641161	-0.04463950
-205.14305520	-0.04642432
-205.10969879	-0.04640096
-205.07634238	-0.04509877
-205.04298597	-0.04296126
-205.00962956	-0.03955650
-204.97627315	-0.03554702
-204.94291674	-0.03169700
-204.90956033	-0.02704454
-204.87620392	-0.02195495
-204.84284751	-0.01600156
-204.80949110	-0.01066482
-204.77613470	-0.00597667
-204.74277829	-0.00189803
-204.70942188	0.00117465
-204.67606547	0.00341551
-204.64270906	0.00481032
-204.60935265	0.00492593
-204.57599624	0.00406245
-204.54263983	0.00346770
-204.50928342	0.00371153
